week,source_snapshot,identical_archive_copy_count,source_input,source_output,source_input_sha256,source_output_sha256,archive_date,validation
1,1,13,Capstone_Folder/initial_data/week_01_inputs.txt,Capstone_Folder/initial_data/week_01_outputs.txt,13e694e55a597a94f9b37f444e37b1c8385e617fcd6889f85aa760c50481bd99,eb61d4b84b234add467d9bdabb7b2378694b13487dcb4f8d3ef527f2dd6f66ad,2026-06-01,complete_aligned_snapshot
2,2,12,Capstone_Folder/week_02_data/week_02_inputs.txt,Capstone_Folder/week_02_data/week_02_outputs.txt,79c9ad095d46106271e0a70fa5a117be7b317b28c4d82cf989c7bdc9bfd341a8,c3690c263390c859362173679c353a9784588a08dfc2733a3969688a2229a558,2026-06-10,complete_aligned_snapshot
3,3,11,Capstone_Folder/week_03_data/week_03_inputs.txt,Capstone_Folder/week_03_data/week_03_outputs.txt,04128361c8d70947d6aac16aa790266887367c532921502d635c83e7488e3bef,2a5029ed367c910c28ca1c9f01c1d09815c2792c74b23ac784fb1eea05e82fcf,2026-06-15,complete_aligned_snapshot
4,4,10,Capstone_Folder/week_04_data/Week_04_inputs.txt,Capstone_Folder/week_04_data/Week_04_outputs.txt,4d1a1a16b1ea24f4ac0ae301628333273cc06fb90a4be69fd2353b981a2884bb,b35395b98586465c8855806dd43dbc3a449edab716320902ddb8898e3f698bb2,2026-06-22,complete_aligned_snapshot
5,5,9,Capstone_Folder/week_05_data/Week_05_inputs.txt,Capstone_Folder/week_05_data/Week_05_outputs.txt,d23929f2ba5e16bcdb88b113e235ec6f7624363da89e4d22180fbebc896bdbca,e6428d4c235b0eb0345028326c84c30575f280abbdc41b2492ba4578795366de,2026-06-29,complete_aligned_snapshot
6,6,8,Capstone_Folder/week_06_data/week_06_inputs.txt,Capstone_Folder/week_06_data/week_06_outputs.txt,192e607ec1aeb083dece9c099bd784be8a9abfc74cace9c50fdd059b2f44037d,7d5d24b375a87fcfe85943cbbddf711b61d87680f61e67ac58810baac47c5ad0,2026-07-06,complete_aligned_snapshot
7,7,7,Capstone_Folder/week_07_data/week_07_inputs.txt,Capstone_Folder/week_07_data/week_07_outputs.txt,64e266e874054c81da6a0904b892ce2afb99462feb3f540696921534dc71b6d1,536e2b7d0898cee9f9f3dedb73ce92dd0cf90b8b0ba42308cfcf40e89821a1d6,2026-07-14,complete_aligned_snapshot
8,8,6,Capstone_Folder/week_08_data/week_8_inputs.txt,Capstone_Folder/week_08_data/week_8_outputs.txt,82d7f687a862a9bed4393aebae8e5d99c7e21de466f145e3cd5bac61d2137b42,2089ea154961e01a811af7cf733a169a080fab12ada7db7f694de414b5eafc89,2026-07-21,complete_aligned_snapshot
9,9,5,Capstone_Folder/week_09_data/week_9_inputs.txt,Capstone_Folder/week_09_data/week_9_outputs.txt,64c67ea3cd54df2e5422a181be023ea9db31932175e2a9dd3badfc50532f108f,d2112e7d398b58fee7b5d791b12f652b4e8edc1c1294aec74a045cf2ba26663f,2026-07-25,complete_aligned_snapshot
10,11,3,Capstone_Folder/week_11_data /week_11_inputs.txt,Capstone_Folder/week_11_data /week_11_outputs.txt,a79749cd49db07cf32c99665fd482be75faf26f64dc446952093eabe0aa002d2,b1ec8e43f30ba00dc985708bdf37354950fd9294837cee6d308ac04eedc93dc5,2026-08-09,complete_aligned_snapshot
11,11,3,Capstone_Folder/week_11_data /week_11_inputs.txt,Capstone_Folder/week_11_data /week_11_outputs.txt,a79749cd49db07cf32c99665fd482be75faf26f64dc446952093eabe0aa002d2,b1ec8e43f30ba00dc985708bdf37354950fd9294837cee6d308ac04eedc93dc5,2026-08-09,complete_aligned_snapshot
