[np.float64(-1.560646704467778e-117), np.float64(-0.03182956281754251), np.float64(-0.04090761844901528), np.float64(-8.727516493155957), np.float64(1088.8535114737463), np.float64(-1.1520351120911565), np.float64(1.0510148516295004), np.float64(9.8157087929671)]
[np.float64(1.674933466363685e-36), np.float64(0.022666631114895516), np.float64(-0.08987474979637637), np.float64(-31.73535839431216), np.float64(1035.6341457754475), np.float64(-0.8782405650300305), np.float64(0.308765180253091), np.float64(9.9399041910574)]
[np.float64(-1.0755942664604116e-32), np.float64(0.04868370128566149), np.float64(-0.18323876643005035), np.float64(-1.9810750402526334), np.float64(1035.6647479285914), np.float64(-1.339542402620705), np.float64(2.149905456773691), np.float64(8.9636037557014)]
[np.float64(-2.4666412561217706e-107), np.float64(0.038774938576018964), np.float64(-0.08251349582236739), np.float64(-9.312811809021998), np.float64(163.1225), np.float64(-2.4375082517089726), np.float64(1.2087334449610816), np.float64(9.2540644925525)]
[7.6512102255565565e-239, 0.22078072799826579, -0.05739710166867316, -17.92630659900679, 0.9401160531598542, -2.5293691850310744, 0.19078262729854223, 9.1386093113071]
[6.131855211153796e-211, 0.16053152307795218, -0.11700517654347184, -20.879363209082445, 281.9115728306016, -1.3125396070217887, 1.611967464642638, 8.5570343323444]
[-6.738616132275143e-151, 0.04871438177077586, -0.047183135414436805, -20.19585364168859, 163.1225, -1.2870894592671105, 0.8994987341856474, 8.5636390087854]
[-1.7723999829558996e-96, 0.07276416200318507, -0.07741316335640898, -28.736322947747187, 1465.5121917504077, -1.4794522548883542, 0.8461801483768777, 9.0200908822654]
[-3.089423814911752e-96, 0.049406406222616564, -0.08189344986506433, -23.42280313862202, 430.8031249775375, -1.1717131510084098, 1.009894033457839, 9.6998918101966]
[-4.5921413403053304e-89, 0.02678836560203038, -0.0463387992394308, -15.125730966112929, 1424.6366011060773, -1.4490886989479597, 0.8456374465318568, 9.3736675460081]
[8.159220183163013e-130, 0.06529972619341909, -0.038446126253640946, -14.992666345077428, 210.03831315192616, -1.154424131709899, 1.478174096441659, 9.2760687615836]
[-1.623961943367607e-106, 0.6073819387620356, -0.022629319369005918, 0.36997528143061276, 3546.6319692489096, -0.5378218203873342, 2.26680177151999, 9.9268353584061]
