query,evidence,x1,x2,objective
1,starter,0.6657995800131589,0.12396912767534907,0.5389961189269181
2,starter,0.8777909889953304,0.7786275008473289,0.42058623962798264
3,starter,0.14269907423594608,0.34900513057320015,-0.06562362443733738
4,starter,0.8452754286767249,0.7111202665952655,0.293992912410866
5,starter,0.45464714105124415,0.2904551797740609,0.2149645101004509
6,starter,0.5777128444074784,0.7719731841154063,0.023105549798190586
7,starter,0.4381660616117107,0.6850182567997548,0.24461934400448035
8,starter,0.34174959302885033,0.028697719822277867,0.0387490151561584
9,starter,0.33864815688701766,0.21386724563864368,-0.013857618149729824
10,starter,0.7026365569244406,0.9265641975455574,0.6112052157614438
11,recorded,0.37454,0.950714,-0.03182956281754251
12,recorded,0.978752,0.932731,0.022666631114895516
13,recorded,6e-06,0.334143,0.04868370128566149
14,recorded,0.197553,0.808683,0.038774938576018964
15,recorded,0.555332,0.360931,0.22078072799826579
16,recorded,0.473151,0.950706,0.16053152307795218
17,recorded,0.009675,0.999881,0.04871438177077586
18,recorded,0.314242,0.973527,0.07276416200318507
19,recorded,0.995366,0.102732,0.049406406222616564
