function,method,candidate,candidate_source,acquisition_score,predicted_mean,predicted_std,kappa,xi,xi_fraction_of_output_std,diagnostic_coordinate
1,UCB,"[0.98745,0.502905]",sobol,0.0025590876689507987,-4.9214934347804686e-05,0.0008694342010995344,3.0,7.511388649340191e-06,0.01,rounded_submission_6dp
1,EI,"[0.953988,0.532948]",sobol,0.0003390055197438206,5.907924608407507e-05,0.000783433536162404,3.0,7.511388649340191e-06,0.01,rounded_submission_6dp
1,PI,"[0.756395,0.735903]",local,0.9518257134542644,5.9467208074336276e-05,3.124561600742553e-05,3.0,7.511388649340191e-06,0.01,rounded_submission_6dp
2,UCB,"[0.711866,0.0]",local,0.7369042456147776,0.5356701788337742,0.10061703339050168,2.0,0.004051375553614421,0.02,rounded_submission_6dp
2,EI,"[0.686305,0.999999]",local,0.013609784887703667,0.5951555942546296,0.05572067455300578,2.0,0.004051375553614421,0.02,rounded_submission_6dp
2,PI,"[0.695455,0.770806]",local,0.44564504089218276,0.6116457187474768,0.026419992460971695,2.0,0.004051375553614421,0.02,rounded_submission_6dp
3,UCB,"[0.028484,0.967736,0.000487]",sobol,0.06709277457676248,-0.053939291825097546,0.08068804426790668,1.5,0.00035325041655734373,0.005,rounded_submission_6dp
3,EI,"[0.279542,0.884932,0.000883]",sobol,0.020457634525837418,-0.03503024190650364,0.06603683173777634,1.5,0.00035325041655734373,0.005,rounded_submission_6dp
3,PI,"[0.685419,0.62677,0.366737]",sobol,0.5075455369646519,-0.022132433278838473,0.0075937506796814715,1.5,0.00035325041655734373,0.005,rounded_submission_6dp
4,UCB,"[0.332326,0.427941,0.445087,0.470215]",local,1.093548122808536,0.15536953954155308,0.341155848460721,2.75,0.1562493307197141,0.02,rounded_submission_6dp
4,EI,"[0.367848,0.424087,0.416894,0.452109]",local,0.03781530795606457,0.37681299873880647,0.23633103213242787,2.75,0.1562493307197141,0.02,rounded_submission_6dp
4,PI,"[0.367848,0.424087,0.416894,0.452109]",local,0.26362376532941123,0.37681299873880647,0.23633103213242787,2.75,0.1562493307197141,0.02,rounded_submission_6dp
5,UCB,"[0.0,0.999999,0.999999,0.999999]",local,4353.504698718847,4082.049793641966,180.96993671792055,1.5,7.0929301808985485,0.01,rounded_submission_6dp
5,EI,"[0.035438,0.999999,0.999999,0.999999]",local,529.6519714033004,4083.3240467034584,172.90873334052188,1.5,7.0929301808985485,0.01,rounded_submission_6dp
5,PI,"[0.09716,0.961813,0.991719,0.999999]",local,0.999999997802236,3675.227301607038,20.70389706131253,1.5,7.0929301808985485,0.01,rounded_submission_6dp
6,UCB,"[0.140862,0.019269,0.893176,0.953696,0.013258]",sobol,-0.20701774890677294,-0.8184884059044045,0.34941180399864663,1.75,0.00489985721255014,0.01,rounded_submission_6dp
6,EI,"[0.395407,0.091768,0.66226,0.806631,0.0]",local,0.04073920900353176,-0.5657907382150347,0.1394573561136161,1.75,0.00489985721255014,0.01,rounded_submission_6dp
6,PI,"[0.53544,0.186748,0.583635,0.888866,0.0]",local,0.6302822733402474,-0.5211022480780502,0.03553721559625486,1.75,0.00489985721255014,0.01,rounded_submission_6dp
7,UCB,"[0.186669,0.174973,0.820528,0.28797,0.334213,0.844074]",local,2.5652205366607985,2.2167596169859998,0.17423045983739938,2.0,0.005920927063112542,0.01,rounded_submission_6dp
7,EI,"[0.106772,0.254248,0.721625,0.244162,0.3325,0.788152]",local,0.07193412557319527,2.3314228767347775,0.0878241922818512,2.0,0.005920927063112542,0.01,rounded_submission_6dp
7,PI,"[0.113014,0.265119,0.542585,0.223313,0.336758,0.790802]",local,0.8056861104941869,2.312385825625992,0.04600711405426678,2.0,0.005920927063112542,0.01,rounded_submission_6dp
8,UCB,"[0.032909,0.091943,0.072309,0.221801,0.904654,0.989379,0.0244,0.951853]",sobol,10.645565187939663,9.649620828945263,0.33198145299813325,3.0,0.0212312549942297,0.02,rounded_submission_6dp
8,EI,"[0.122403,0.0,0.185793,0.022448,0.792359,0.542111,0.214735,0.576104]",local,0.06451479662892612,9.999268834459341,0.10721031496941455,3.0,0.0212312549942297,0.02,rounded_submission_6dp
8,PI,"[0.13208,0.174016,0.148788,0.10494,0.896582,0.527035,0.263841,0.50779]",local,0.6877458196620619,9.997619180288112,0.07453708727449226,3.0,0.0212312549942297,0.02,rounded_submission_6dp
